latitude,longitude,altitude,geometry,@id,highway,public_transport,name,shelter,bus,bench,alt_name:lld,name:it,name:lld,departures_board,operator,old_name,route_ref,bus_routes,created_by,wheelchair,note,tactile_paving,covered,source,ref,name:de,addr:city,addr:postcode,addr:street,alt_name,shelter_type,amenity,bin,network,toilets:wheelchair,designation,local_ref,mapillary,pole,survey:date,official_name,website,description,fixme,lit,passenger_information_display,surface,building
46.0663524,11.2298814,,Point,node/417680263,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0352188,11.2203967,,Point,node/417707399,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0582649,11.2139742,,Point,node/417707843,bus_stop,platform,Costasavina,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.064159,11.2235116,,Point,node/417709115,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0639254,11.2243753,,Point,node/417709117,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0478521,11.2186283,,Point,node/417969045,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0656745,11.2286107,,Point,node/417969165,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1411773,10.9657524,,Point,node/426311707,bus_stop,,Via Nazionale / Cimitero,no,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,
46.1412781,10.9655724,,Point,node/426311711,bus_stop,,Via Nazionale / Cimitero,no,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,
46.1426035,10.9624739,,Point,node/426311716,bus_stop,,Via Nazionale / Hotel Excelsior,no,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,
46.1425121,10.9624368,,Point,node/426311725,bus_stop,,Via Nazionale / Hotel Panorama,no,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,
